time ne name
1 FBgn0001078 FTZ-F1
1 FBgn0031435 ELBA2
1 FBgn0037717 CG8301
1 FBgn0033762 ZNT49B
2 FBgn0001078 FTZ-F1
2 FBgn0031435 ELBA2
2 FBgn0037717 CG8301
2 FBgn0033762 ZNT49B
3 FBgn0001078 FTZ-F1
3 FBgn0031435 ELBA2
3 FBgn0037717 CG8301
3 FBgn0033762 ZNT49B
4 FBgn0001078 FTZ-F1
4 FBgn0031435 ELBA2
4 FBgn0011274 DIF
4 FBgn0037717 CG8301
4 FBgn0033744 DH44-R2
4 FBgn0033762 ZNT49B
5 FBgn0001078 FTZ-F1
5 FBgn0003683 TERM
5 FBgn0011274 DIF
5 FBgn0261703 GCE
5 FBgn0037717 CG8301
5 FBgn0014931 CG2678
5 FBgn0033744 DH44-R2
5 FBgn0033762 ZNT49B
6 FBgn0001078 FTZ-F1
6 FBgn0011274 DIF
6 FBgn0261703 GCE
6 FBgn0037717 CG8301
6 FBgn0033744 DH44-R2
6 FBgn0033762 ZNT49B
7 FBgn0001078 FTZ-F1
7 FBgn0003683 TERM
7 FBgn0003270 AMOS
7 FBgn0011274 DIF
7 FBgn0014863 MLP84B
7 FBgn0261703 GCE
7 FBgn0037717 CG8301
7 FBgn0037698 CG16779
7 FBgn0014931 CG2678
7 FBgn0033744 DH44-R2
7 FBgn0033762 ZNT49B
8 FBgn0001078 FTZ-F1
8 FBgn0011274 DIF
8 FBgn0261703 GCE
8 FBgn0037717 CG8301
8 FBgn0037698 CG16779
8 FBgn0033744 DH44-R2
8 FBgn0033762 ZNT49B
9 FBgn0001078 FTZ-F1
9 FBgn0034729 CG10344
9 FBgn0011274 DIF
9 FBgn0014863 MLP84B
9 FBgn0261703 GCE
9 FBgn0033252 CG12769
9 FBgn0037717 CG8301
9 FBgn0035625 BLIMP-1
9 FBgn0038063 OCTBETA2R
9 FBgn0037698 CG16779
9 FBgn0033744 DH44-R2
9 FBgn0000567 EIP74EF
9 FBgn0053178 CG33178
9 FBgn0033762 ZNT49B
10 FBgn0001078 FTZ-F1
10 FBgn0011274 DIF
10 FBgn0014863 MLP84B
10 FBgn0261703 GCE
10 FBgn0033252 CG12769
10 FBgn0037717 CG8301
10 FBgn0035625 BLIMP-1
10 FBgn0038063 OCTBETA2R
10 FBgn0037698 CG16779
10 FBgn0033744 DH44-R2
10 FBgn0000567 EIP74EF
10 FBgn0053178 CG33178
11 FBgn0001078 FTZ-F1
11 FBgn0034729 CG10344
11 FBgn0011274 DIF
11 FBgn0035144 KAH
11 FBgn0014863 MLP84B
11 FBgn0261703 GCE
11 FBgn0033252 CG12769
11 FBgn0037717 CG8301
11 FBgn0035625 BLIMP-1
11 FBgn0038063 OCTBETA2R
11 FBgn0037698 CG16779
11 FBgn0014179 GCM
11 FBgn0033744 DH44-R2
11 FBgn0000567 EIP74EF
11 FBgn0053178 CG33178
11 FBgn0042696 NFI
12 FBgn0001078 FTZ-F1
12 FBgn0034729 CG10344
12 FBgn0011274 DIF
12 FBgn0035144 KAH
12 FBgn0014863 MLP84B
12 FBgn0259246 BRP
12 FBgn0261703 GCE
12 FBgn0033252 CG12769
12 FBgn0037717 CG8301
12 FBgn0035625 BLIMP-1
12 FBgn0038063 OCTBETA2R
12 FBgn0037698 CG16779
12 FBgn0014179 GCM
12 FBgn0033744 DH44-R2
12 FBgn0000567 EIP74EF
12 FBgn0053178 CG33178
12 FBgn0042696 NFI
13 FBgn0001078 FTZ-F1
13 FBgn0034729 CG10344
13 FBgn0011274 DIF
13 FBgn0035144 KAH
13 FBgn0014863 MLP84B
13 FBgn0259246 BRP
13 FBgn0261703 GCE
13 FBgn0033252 CG12769
13 FBgn0037717 CG8301
13 FBgn0035625 BLIMP-1
13 FBgn0038063 OCTBETA2R
13 FBgn0037698 CG16779
13 FBgn0014179 GCM
13 FBgn0033744 DH44-R2
13 FBgn0000567 EIP74EF
13 FBgn0031232 CG11617
13 FBgn0053178 CG33178
13 FBgn0042696 NFI
14 FBgn0001078 FTZ-F1
14 FBgn0034729 CG10344
14 FBgn0039039 LMD
14 FBgn0011274 DIF
14 FBgn0035144 KAH
14 FBgn0014863 MLP84B
14 FBgn0259246 BRP
14 FBgn0016076 VRI
14 FBgn0261703 GCE
14 FBgn0033252 CG12769
14 FBgn0037717 CG8301
14 FBgn0035625 BLIMP-1
14 FBgn0038063 OCTBETA2R
14 FBgn0037698 CG16779
14 FBgn0014179 GCM
14 FBgn0000591 E(SPL)M8-HLH
14 FBgn0033744 DH44-R2
14 FBgn0039816 CG11317
14 FBgn0000567 EIP74EF
14 FBgn0031232 CG11617
14 FBgn0053178 CG33178
14 FBgn0042696 NFI
