"Method" "Sim_round" "Metric" "Value" "N" "n" "p" "h"
"tvglasso" 1 "TP" 97 200 100 100 0.01
"tvglasso" 1 "FP" 94 200 100 100 0.01
"tvglasso" 1 "FN" 0 200 100 100 0.01
"tvglasso" 1 "TN" 4759 200 100 100 0.01
"tvglasso" 1 "Pre" 0.507853403141361 200 100 100 0.01
"tvglasso" 1 "TPR" 1 200 100 100 0.01
"tvglasso" 1 "MCC" 0.705702880716804 200 100 100 0.01
"tvglasso" 1 "FDR" 0.492146596858639 200 100 100 0.01
"tvglasso" 1 "FPR" 0.0193694621883371 200 100 100 0.01
"tvglasso" 1 "F1" 0.673611111111111 200 100 100 0.01
"tvglasso" 1 "JI" 0.507853403141361 200 100 100 0.01
"tvglasso" 1 "ED" 94 200 100 100 0.01
"tvglasso" 1 "TP" 97 200 100 100 0.01
"tvglasso" 1 "FP" 91 200 100 100 0.01
"tvglasso" 1 "FN" 2 200 100 100 0.01
"tvglasso" 1 "TN" 4760 200 100 100 0.01
"tvglasso" 1 "Pre" 0.515957446808511 200 100 100 0.01
"tvglasso" 1 "TPR" 0.97979797979798 200 100 100 0.01
"tvglasso" 1 "MCC" 0.703883214979655 200 100 100 0.01
"tvglasso" 1 "FDR" 0.484042553191489 200 100 100 0.01
"tvglasso" 1 "FPR" 0.0187590187590188 200 100 100 0.01
"tvglasso" 1 "F1" 0.67595818815331 200 100 100 0.01
"tvglasso" 1 "JI" 0.510526315789474 200 100 100 0.01
"tvglasso" 1 "ED" 93 200 100 100 0.01
"tvglasso" 1 "TP" 97 200 100 100 0.01
"tvglasso" 1 "FP" 103 200 100 100 0.01
"tvglasso" 1 "FN" 0 200 100 100 0.01
"tvglasso" 1 "TN" 4750 200 100 100 0.01
"tvglasso" 1 "Pre" 0.485 200 100 100 0.01
"tvglasso" 1 "TPR" 1 200 100 100 0.01
"tvglasso" 1 "MCC" 0.688989381047015 200 100 100 0.01
"tvglasso" 1 "FDR" 0.515 200 100 100 0.01
"tvglasso" 1 "FPR" 0.0212239851638162 200 100 100 0.01
"tvglasso" 1 "F1" 0.653198653198653 200 100 100 0.01
"tvglasso" 1 "JI" 0.485 200 100 100 0.01
"tvglasso" 1 "ED" 103 200 100 100 0.01
"tvglasso" 1 "TP" 97 200 100 100 0.01
"tvglasso" 1 "FP" 111 200 100 100 0.01
"tvglasso" 1 "FN" 2 200 100 100 0.01
"tvglasso" 1 "TN" 4740 200 100 100 0.01
"tvglasso" 1 "Pre" 0.466346153846154 200 100 100 0.01
"tvglasso" 1 "TPR" 0.97979797979798 200 100 100 0.01
"tvglasso" 1 "MCC" 0.667720413726574 200 100 100 0.01
"tvglasso" 1 "FDR" 0.533653846153846 200 100 100 0.01
"tvglasso" 1 "FPR" 0.0228818800247372 200 100 100 0.01
"tvglasso" 1 "F1" 0.631921824104234 200 100 100 0.01
"tvglasso" 1 "JI" 0.461904761904762 200 100 100 0.01
"tvglasso" 1 "ED" 113 200 100 100 0.01
"tvglasso" 1 "TP" 97 200 100 100 0.01
"tvglasso" 1 "FP" 103 200 100 100 0.01
"tvglasso" 1 "FN" 0 200 100 100 0.01
"tvglasso" 1 "TN" 4750 200 100 100 0.01
"tvglasso" 1 "Pre" 0.485 200 100 100 0.01
"tvglasso" 1 "TPR" 1 200 100 100 0.01
"tvglasso" 1 "MCC" 0.688989381047015 200 100 100 0.01
"tvglasso" 1 "FDR" 0.515 200 100 100 0.01
"tvglasso" 1 "FPR" 0.0212239851638162 200 100 100 0.01
"tvglasso" 1 "F1" 0.653198653198653 200 100 100 0.01
"tvglasso" 1 "JI" 0.485 200 100 100 0.01
"tvglasso" 1 "ED" 103 200 100 100 0.01
"tvglasso" 1 "TP" 97 200 100 100 0.01
"tvglasso" 1 "FP" 92 200 100 100 0.01
"tvglasso" 1 "FN" 2 200 100 100 0.01
"tvglasso" 1 "TN" 4759 200 100 100 0.01
"tvglasso" 1 "Pre" 0.513227513227513 200 100 100 0.01
"tvglasso" 1 "TPR" 0.97979797979798 200 100 100 0.01
"tvglasso" 1 "MCC" 0.701941743540345 200 100 100 0.01
"tvglasso" 1 "FDR" 0.486772486772487 200 100 100 0.01
"tvglasso" 1 "FPR" 0.0189651618223047 200 100 100 0.01
"tvglasso" 1 "F1" 0.673611111111111 200 100 100 0.01
"tvglasso" 1 "JI" 0.507853403141361 200 100 100 0.01
"tvglasso" 1 "ED" 94 200 100 100 0.01
"tvglasso" 1 "TP" 96 200 100 100 0.01
"tvglasso" 1 "FP" 80 200 100 100 0.01
"tvglasso" 1 "FN" 1 200 100 100 0.01
"tvglasso" 1 "TN" 4773 200 100 100 0.01
"tvglasso" 1 "Pre" 0.545454545454545 200 100 100 0.01
"tvglasso" 1 "TPR" 0.989690721649485 200 100 100 0.01
"tvglasso" 1 "MCC" 0.728447541479634 200 100 100 0.01
"tvglasso" 1 "FDR" 0.454545454545455 200 100 100 0.01
"tvglasso" 1 "FPR" 0.0164846486709252 200 100 100 0.01
"tvglasso" 1 "F1" 0.703296703296703 200 100 100 0.01
"tvglasso" 1 "JI" 0.542372881355932 200 100 100 0.01
"tvglasso" 1 "ED" 81 200 100 100 0.01
"tvglasso" 1 "TP" 97 200 100 100 0.01
"tvglasso" 1 "FP" 87 200 100 100 0.01
"tvglasso" 1 "FN" 2 200 100 100 0.01
