"Method" "Sim_round" "Metric" "Value" "N" "n" "p" "h"
"tvglasso" 1 "FN" 1 200 10 100 1
"tvglasso" 1 "TN" 4739 200 10 100 1
"tvglasso" 1 "Pre" 0.466666666666667 200 10 100 1
"tvglasso" 1 "TPR" 0.98989898989899 200 10 100 1
"tvglasso" 1 "MCC" 0.671546336912094 200 10 100 1
"tvglasso" 1 "FDR" 0.533333333333333 200 10 100 1
"tvglasso" 1 "FPR" 0.0230880230880231 200 10 100 1
"tvglasso" 1 "F1" 0.634304207119741 200 10 100 1
"tvglasso" 1 "JI" 0.464454976303318 200 10 100 1
"tvglasso" 1 "ED" 113 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 113 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4740 200 10 100 1
"tvglasso" 1 "Pre" 0.461904761904762 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.671676640859328 200 10 100 1
"tvglasso" 1 "FDR" 0.538095238095238 200 10 100 1
"tvglasso" 1 "FPR" 0.0232845662476818 200 10 100 1
"tvglasso" 1 "F1" 0.631921824104234 200 10 100 1
"tvglasso" 1 "JI" 0.461904761904762 200 10 100 1
"tvglasso" 1 "ED" 113 200 10 100 1
"tvglasso" 1 "TP" 98 200 10 100 1
"tvglasso" 1 "FP" 112 200 10 100 1
"tvglasso" 1 "FN" 1 200 10 100 1
"tvglasso" 1 "TN" 4739 200 10 100 1
"tvglasso" 1 "Pre" 0.466666666666667 200 10 100 1
"tvglasso" 1 "TPR" 0.98989898989899 200 10 100 1
"tvglasso" 1 "MCC" 0.671546336912094 200 10 100 1
"tvglasso" 1 "FDR" 0.533333333333333 200 10 100 1
"tvglasso" 1 "FPR" 0.0230880230880231 200 10 100 1
"tvglasso" 1 "F1" 0.634304207119741 200 10 100 1
"tvglasso" 1 "JI" 0.464454976303318 200 10 100 1
"tvglasso" 1 "ED" 113 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 113 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4740 200 10 100 1
"tvglasso" 1 "Pre" 0.461904761904762 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.671676640859328 200 10 100 1
"tvglasso" 1 "FDR" 0.538095238095238 200 10 100 1
"tvglasso" 1 "FPR" 0.0232845662476818 200 10 100 1
"tvglasso" 1 "F1" 0.631921824104234 200 10 100 1
"tvglasso" 1 "JI" 0.461904761904762 200 10 100 1
"tvglasso" 1 "ED" 113 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 84 200 10 100 1
"tvglasso" 1 "FN" 2 200 10 100 1
"tvglasso" 1 "TN" 4767 200 10 100 1
"tvglasso" 1 "Pre" 0.535911602209945 200 10 100 1
"tvglasso" 1 "TPR" 0.97979797979798 200 10 100 1
"tvglasso" 1 "MCC" 0.717914764866085 200 10 100 1
"tvglasso" 1 "FDR" 0.464088397790055 200 10 100 1
"tvglasso" 1 "FPR" 0.0173160173160173 200 10 100 1
"tvglasso" 1 "F1" 0.692857142857143 200 10 100 1
"tvglasso" 1 "JI" 0.530054644808743 200 10 100 1
"tvglasso" 1 "ED" 86 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 84 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4769 200 10 100 1
"tvglasso" 1 "Pre" 0.535911602209945 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.725696611542858 200 10 100 1
"tvglasso" 1 "FDR" 0.464088397790055 200 10 100 1
"tvglasso" 1 "FPR" 0.0173088811044715 200 10 100 1
"tvglasso" 1 "F1" 0.697841726618705 200 10 100 1
"tvglasso" 1 "JI" 0.535911602209945 200 10 100 1
"tvglasso" 1 "ED" 84 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 84 200 10 100 1
"tvglasso" 1 "FN" 2 200 10 100 1
"tvglasso" 1 "TN" 4767 200 10 100 1
"tvglasso" 1 "Pre" 0.535911602209945 200 10 100 1
"tvglasso" 1 "TPR" 0.97979797979798 200 10 100 1
"tvglasso" 1 "MCC" 0.717914764866085 200 10 100 1
"tvglasso" 1 "FDR" 0.464088397790055 200 10 100 1
"tvglasso" 1 "FPR" 0.0173160173160173 200 10 100 1
"tvglasso" 1 "F1" 0.692857142857143 200 10 100 1
"tvglasso" 1 "JI" 0.530054644808743 200 10 100 1
"tvglasso" 1 "ED" 86 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 85 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4768 200 10 100 1
"tvglasso" 1 "Pre" 0.532967032967033 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.723624313979401 200 10 100 1
"tvglasso" 1 "FDR" 0.467032967032967 200 10 100 1
"tvglasso" 1 "FPR" 0.017514939212858 200 10 100 1
"tvglasso" 1 "F1" 0.695340501792115 200 10 100 1
"tvglasso" 1 "JI" 0.532967032967033 200 10 100 1
"tvglasso" 1 "ED" 85 200 10 100 1
"tvglasso" 1 "TP" 98 200 10 100 1
"tvglasso" 1 "FP" 112 200 10 100 1
"tvglasso" 1 "FN" 1 200 10 100 1
"tvglasso" 1 "TN" 4739 200 10 100 1
"tvglasso" 1 "Pre" 0.466666666666667 200 10 100 1
"tvglasso" 1 "TPR" 0.98989898989899 200 10 100 1
"tvglasso" 1 "MCC" 0.671546336912094 200 10 100 1
"tvglasso" 1 "FDR" 0.533333333333333 200 10 100 1
"tvglasso" 1 "FPR" 0.0230880230880231 200 10 100 1
"tvglasso" 1 "F1" 0.634304207119741 200 10 100 1
"tvglasso" 1 "JI" 0.464454976303318 200 10 100 1
"tvglasso" 1 "ED" 113 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 84 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4769 200 10 100 1
"tvglasso" 1 "Pre" 0.535911602209945 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.725696611542858 200 10 100 1
"tvglasso" 1 "FDR" 0.464088397790055 200 10 100 1
"tvglasso" 1 "FPR" 0.0173088811044715 200 10 100 1
"tvglasso" 1 "F1" 0.697841726618705 200 10 100 1
"tvglasso" 1 "JI" 0.535911602209945 200 10 100 1
"tvglasso" 1 "ED" 84 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 84 200 10 100 1
"tvglasso" 1 "FN" 2 200 10 100 1
"tvglasso" 1 "TN" 4767 200 10 100 1
"tvglasso" 1 "Pre" 0.535911602209945 200 10 100 1
"tvglasso" 1 "TPR" 0.97979797979798 200 10 100 1
"tvglasso" 1 "MCC" 0.717914764866085 200 10 100 1
"tvglasso" 1 "FDR" 0.464088397790055 200 10 100 1
"tvglasso" 1 "FPR" 0.0173160173160173 200 10 100 1
"tvglasso" 1 "F1" 0.692857142857143 200 10 100 1
"tvglasso" 1 "JI" 0.530054644808743 200 10 100 1
"tvglasso" 1 "ED" 86 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 84 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4769 200 10 100 1
"tvglasso" 1 "Pre" 0.535911602209945 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.725696611542858 200 10 100 1
"tvglasso" 1 "FDR" 0.464088397790055 200 10 100 1
"tvglasso" 1 "FPR" 0.0173088811044715 200 10 100 1
"tvglasso" 1 "F1" 0.697841726618705 200 10 100 1
"tvglasso" 1 "JI" 0.535911602209945 200 10 100 1
"tvglasso" 1 "ED" 84 200 10 100 1
"tvglasso" 1 "TP" 98 200 10 100 1
"tvglasso" 1 "FP" 98 200 10 100 1
"tvglasso" 1 "FN" 1 200 10 100 1
"tvglasso" 1 "TN" 4753 200 10 100 1
"tvglasso" 1 "Pre" 0.5 200 10 100 1
"tvglasso" 1 "TPR" 0.98989898989899 200 10 100 1
"tvglasso" 1 "MCC" 0.696164140046305 200 10 100 1
"tvglasso" 1 "FDR" 0.5 200 10 100 1
"tvglasso" 1 "FPR" 0.0202020202020202 200 10 100 1
"tvglasso" 1 "F1" 0.664406779661017 200 10 100 1
"tvglasso" 1 "JI" 0.49746192893401 200 10 100 1
"tvglasso" 1 "ED" 99 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 111 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4742 200 10 100 1
"tvglasso" 1 "Pre" 0.466346153846154 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.675040498596344 200 10 100 1
"tvglasso" 1 "FDR" 0.533653846153846 200 10 100 1
"tvglasso" 1 "FPR" 0.0228724500309087 200 10 100 1
"tvglasso" 1 "F1" 0.636065573770492 200 10 100 1
"tvglasso" 1 "JI" 0.466346153846154 200 10 100 1
"tvglasso" 1 "ED" 111 200 10 100 1
"tvglasso" 1 "TP" 98 200 10 100 1
"tvglasso" 1 "FP" 110 200 10 100 1
"tvglasso" 1 "FN" 1 200 10 100 1
"tvglasso" 1 "TN" 4741 200 10 100 1
"tvglasso" 1 "Pre" 0.471153846153846 200 10 100 1
"tvglasso" 1 "TPR" 0.98989898989899 200 10 100 1
"tvglasso" 1 "MCC" 0.674912576735262 200 10 100 1
"tvglasso" 1 "FDR" 0.528846153846154 200 10 100 1
"tvglasso" 1 "FPR" 0.0226757369614512 200 10 100 1
"tvglasso" 1 "F1" 0.638436482084691 200 10 100 1
"tvglasso" 1 "JI" 0.4688995215311 200 10 100 1
"tvglasso" 1 "ED" 111 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 111 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4742 200 10 100 1
"tvglasso" 1 "Pre" 0.466346153846154 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.675040498596344 200 10 100 1
"tvglasso" 1 "FDR" 0.533653846153846 200 10 100 1
"tvglasso" 1 "FPR" 0.0228724500309087 200 10 100 1
"tvglasso" 1 "F1" 0.636065573770492 200 10 100 1
"tvglasso" 1 "JI" 0.466346153846154 200 10 100 1
"tvglasso" 1 "ED" 111 200 10 100 1
"tvglasso" 1 "TP" 98 200 10 100 1
"tvglasso" 1 "FP" 96 200 10 100 1
"tvglasso" 1 "FN" 1 200 10 100 1
"tvglasso" 1 "TN" 4755 200 10 100 1
"tvglasso" 1 "Pre" 0.505154639175258 200 10 100 1
"tvglasso" 1 "TPR" 0.98989898989899 200 10 100 1
"tvglasso" 1 "MCC" 0.699893717083039 200 10 100 1
"tvglasso" 1 "FDR" 0.494845360824742 200 10 100 1
"tvglasso" 1 "FPR" 0.0197897340754484 200 10 100 1
"tvglasso" 1 "F1" 0.668941979522184 200 10 100 1
"tvglasso" 1 "JI" 0.502564102564103 200 10 100 1
"tvglasso" 1 "ED" 97 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 111 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4742 200 10 100 1
"tvglasso" 1 "Pre" 0.466346153846154 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.675040498596344 200 10 100 1
"tvglasso" 1 "FDR" 0.533653846153846 200 10 100 1
"tvglasso" 1 "FPR" 0.0228724500309087 200 10 100 1
"tvglasso" 1 "F1" 0.636065573770492 200 10 100 1
"tvglasso" 1 "JI" 0.466346153846154 200 10 100 1
"tvglasso" 1 "ED" 111 200 10 100 1
"tvglasso" 1 "TP" 98 200 10 100 1
"tvglasso" 1 "FP" 96 200 10 100 1
"tvglasso" 1 "FN" 1 200 10 100 1
"tvglasso" 1 "TN" 4755 200 10 100 1
"tvglasso" 1 "Pre" 0.505154639175258 200 10 100 1
"tvglasso" 1 "TPR" 0.98989898989899 200 10 100 1
"tvglasso" 1 "MCC" 0.699893717083039 200 10 100 1
"tvglasso" 1 "FDR" 0.494845360824742 200 10 100 1
"tvglasso" 1 "FPR" 0.0197897340754484 200 10 100 1
"tvglasso" 1 "F1" 0.668941979522184 200 10 100 1
"tvglasso" 1 "JI" 0.502564102564103 200 10 100 1
"tvglasso" 1 "ED" 97 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 110 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4743 200 10 100 1
"tvglasso" 1 "Pre" 0.468599033816425 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.676740411429247 200 10 100 1
"tvglasso" 1 "FDR" 0.531400966183575 200 10 100 1
"tvglasso" 1 "FPR" 0.0226663919225221 200 10 100 1
"tvglasso" 1 "F1" 0.638157894736842 200 10 100 1
"tvglasso" 1 "JI" 0.468599033816425 200 10 100 1
"tvglasso" 1 "ED" 110 200 10 100 1
"tvglasso" 1 "TP" 98 200 10 100 1
"tvglasso" 1 "FP" 95 200 10 100 1
"tvglasso" 1 "FN" 1 200 10 100 1
"tvglasso" 1 "TN" 4756 200 10 100 1
"tvglasso" 1 "Pre" 0.507772020725389 200 10 100 1
"tvglasso" 1 "TPR" 0.98989898989899 200 10 100 1
"tvglasso" 1 "MCC" 0.701779904602818 200 10 100 1
"tvglasso" 1 "FDR" 0.492227979274611 200 10 100 1
"tvglasso" 1 "FPR" 0.0195835910121624 200 10 100 1
"tvglasso" 1 "F1" 0.671232876712329 200 10 100 1
"tvglasso" 1 "JI" 0.505154639175258 200 10 100 1
"tvglasso" 1 "ED" 96 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 96 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4757 200 10 100 1
"tvglasso" 1 "Pre" 0.50259067357513 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.701889333698786 200 10 100 1
"tvglasso" 1 "FDR" 0.49740932642487 200 10 100 1
"tvglasso" 1 "FPR" 0.0197815784051102 200 10 100 1
"tvglasso" 1 "F1" 0.668965517241379 200 10 100 1
"tvglasso" 1 "JI" 0.50259067357513 200 10 100 1
"tvglasso" 1 "ED" 96 200 10 100 1
"tvglasso" 1 "TP" 98 200 10 100 1
"tvglasso" 1 "FP" 95 200 10 100 1
"tvglasso" 1 "FN" 1 200 10 100 1
"tvglasso" 1 "TN" 4756 200 10 100 1
"tvglasso" 1 "Pre" 0.507772020725389 200 10 100 1
"tvglasso" 1 "TPR" 0.98989898989899 200 10 100 1
"tvglasso" 1 "MCC" 0.701779904602818 200 10 100 1
"tvglasso" 1 "FDR" 0.492227979274611 200 10 100 1
"tvglasso" 1 "FPR" 0.0195835910121624 200 10 100 1
"tvglasso" 1 "F1" 0.671232876712329 200 10 100 1
"tvglasso" 1 "JI" 0.505154639175258 200 10 100 1
"tvglasso" 1 "ED" 96 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 120 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4733 200 10 100 1
"tvglasso" 1 "Pre" 0.447004608294931 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.660266262512247 200 10 100 1
"tvglasso" 1 "FDR" 0.552995391705069 200 10 100 1
"tvglasso" 1 "FPR" 0.0247269730063878 200 10 100 1
"tvglasso" 1 "F1" 0.617834394904459 200 10 100 1
"tvglasso" 1 "JI" 0.447004608294931 200 10 100 1
"tvglasso" 1 "ED" 120 200 10 100 1
"tvglasso" 1 "TP" 98 200 10 100 1
"tvglasso" 1 "FP" 119 200 10 100 1
"tvglasso" 1 "FN" 1 200 10 100 1
"tvglasso" 1 "TN" 4732 200 10 100 1
"tvglasso" 1 "Pre" 0.451612903225806 200 10 100 1
"tvglasso" 1 "TPR" 0.98989898989899 200 10 100 1
"tvglasso" 1 "MCC" 0.660127763526623 200 10 100 1
"tvglasso" 1 "FDR" 0.548387096774194 200 10 100 1
"tvglasso" 1 "FPR" 0.0245310245310245 200 10 100 1
"tvglasso" 1 "F1" 0.620253164556962 200 10 100 1
"tvglasso" 1 "JI" 0.44954128440367 200 10 100 1
"tvglasso" 1 "ED" 120 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 120 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4733 200 10 100 1
"tvglasso" 1 "Pre" 0.447004608294931 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.660266262512247 200 10 100 1
"tvglasso" 1 "FDR" 0.552995391705069 200 10 100 1
"tvglasso" 1 "FPR" 0.0247269730063878 200 10 100 1
"tvglasso" 1 "F1" 0.617834394904459 200 10 100 1
"tvglasso" 1 "JI" 0.447004608294931 200 10 100 1
"tvglasso" 1 "ED" 120 200 10 100 1
"tvglasso" 1 "TP" 98 200 10 100 1
"tvglasso" 1 "FP" 118 200 10 100 1
"tvglasso" 1 "FN" 1 200 10 100 1
"tvglasso" 1 "TN" 4733 200 10 100 1
"tvglasso" 1 "Pre" 0.453703703703704 200 10 100 1
"tvglasso" 1 "TPR" 0.98989898989899 200 10 100 1
"tvglasso" 1 "MCC" 0.661725459230101 200 10 100 1
"tvglasso" 1 "FDR" 0.546296296296296 200 10 100 1
"tvglasso" 1 "FPR" 0.0243248814677386 200 10 100 1
"tvglasso" 1 "F1" 0.622222222222222 200 10 100 1
"tvglasso" 1 "JI" 0.451612903225806 200 10 100 1
"tvglasso" 1 "ED" 119 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
"tvglasso" 1 "FP" 119 200 10 100 1
"tvglasso" 1 "FN" 0 200 10 100 1
"tvglasso" 1 "TN" 4734 200 10 100 1
"tvglasso" 1 "Pre" 0.449074074074074 200 10 100 1
"tvglasso" 1 "TPR" 1 200 10 100 1
"tvglasso" 1 "MCC" 0.661862800677606 200 10 100 1
"tvglasso" 1 "FDR" 0.550925925925926 200 10 100 1
"tvglasso" 1 "FPR" 0.0245209148980012 200 10 100 1
"tvglasso" 1 "F1" 0.619808306709265 200 10 100 1
"tvglasso" 1 "JI" 0.449074074074074 200 10 100 1
"tvglasso" 1 "ED" 119 200 10 100 1
"tvglasso" 1 "TP" 98 200 10 100 1
"tvglasso" 1 "FP" 118 200 10 100 1
"tvglasso" 1 "FN" 1 200 10 100 1
"tvglasso" 1 "TN" 4733 200 10 100 1
"tvglasso" 1 "Pre" 0.453703703703704 200 10 100 1
"tvglasso" 1 "TPR" 0.98989898989899 200 10 100 1
"tvglasso" 1 "MCC" 0.661725459230101 200 10 100 1
"tvglasso" 1 "FDR" 0.546296296296296 200 10 100 1
"tvglasso" 1 "FPR" 0.0243248814677386 200 10 100 1
"tvglasso" 1 "F1" 0.622222222222222 200 10 100 1
"tvglasso" 1 "JI" 0.451612903225806 200 10 100 1
"tvglasso" 1 "ED" 119 200 10 100 1
"tvglasso" 1 "TP" 97 200 10 100 1
