"Method" "Sim_round" "Metric" "Value" "N" "n" "p" "h"
"tvglasso" 1 "TP" 148 200 100 100 1
"tvglasso" 1 "FP" 2 200 100 100 1
"tvglasso" 1 "FN" 0 200 100 100 1
"tvglasso" 1 "TN" 4800 200 100 100 1
"tvglasso" 1 "Pre" 0.986666666666667 200 100 100 1
"tvglasso" 1 "TPR" 1 200 100 100 1
"tvglasso" 1 "MCC" 0.993104086579301 200 100 100 1
"tvglasso" 1 "FDR" 0.0133333333333333 200 100 100 1
"tvglasso" 1 "FPR" 0.00041649312786339 200 100 100 1
"tvglasso" 1 "F1" 0.993288590604027 200 100 100 1
"tvglasso" 1 "JI" 0.986666666666667 200 100 100 1
"tvglasso" 1 "ED" 2 200 100 100 1
"tvglasso" 1 "TP" 148 200 100 100 1
"tvglasso" 1 "FP" 2 200 100 100 1
"tvglasso" 1 "FN" 0 200 100 100 1
"tvglasso" 1 "TN" 4800 200 100 100 1
"tvglasso" 1 "Pre" 0.986666666666667 200 100 100 1
"tvglasso" 1 "TPR" 1 200 100 100 1
"tvglasso" 1 "MCC" 0.993104086579301 200 100 100 1
"tvglasso" 1 "FDR" 0.0133333333333333 200 100 100 1
"tvglasso" 1 "FPR" 0.00041649312786339 200 100 100 1
"tvglasso" 1 "F1" 0.993288590604027 200 100 100 1
"tvglasso" 1 "JI" 0.986666666666667 200 100 100 1
"tvglasso" 1 "ED" 2 200 100 100 1
"tvglasso" 1 "TP" 148 200 100 100 1
"tvglasso" 1 "FP" 2 200 100 100 1
"tvglasso" 1 "FN" 0 200 100 100 1
"tvglasso" 1 "TN" 4800 200 100 100 1
"tvglasso" 1 "Pre" 0.986666666666667 200 100 100 1
"tvglasso" 1 "TPR" 1 200 100 100 1
"tvglasso" 1 "MCC" 0.993104086579301 200 100 100 1
"tvglasso" 1 "FDR" 0.0133333333333333 200 100 100 1
"tvglasso" 1 "FPR" 0.00041649312786339 200 100 100 1
"tvglasso" 1 "F1" 0.993288590604027 200 100 100 1
"tvglasso" 1 "JI" 0.986666666666667 200 100 100 1
"tvglasso" 1 "ED" 2 200 100 100 1
"tvglasso" 1 "TP" 148 200 100 100 1
"tvglasso" 1 "FP" 2 200 100 100 1
"tvglasso" 1 "FN" 0 200 100 100 1
"tvglasso" 1 "TN" 4800 200 100 100 1
