"Method" "Sim_round" "Metric" "Value" "N" "n" "p" "h"
"tvglasso" 1 "TP" 15 200 50 100 1
"tvglasso" 1 "FP" 6 200 50 100 1
"tvglasso" 1 "FN" 63 200 50 100 1
"tvglasso" 1 "TN" 4866 200 50 100 1
"tvglasso" 1 "Pre" 0.714285714285714 200 50 100 1
"tvglasso" 1 "TPR" 0.192307692307692 200 50 100 1
"tvglasso" 1 "MCC" 0.366115740812354 200 50 100 1
"tvglasso" 1 "FDR" 0.285714285714286 200 50 100 1
"tvglasso" 1 "FPR" 0.00123152709359606 200 50 100 1
"tvglasso" 1 "F1" 0.303030303030303 200 50 100 1
"tvglasso" 1 "JI" 0.178571428571429 200 50 100 1
"tvglasso" 1 "ED" 69 200 50 100 1
"tvglasso" 1 "TP" 15 200 50 100 1
"tvglasso" 1 "FP" 6 200 50 100 1
"tvglasso" 1 "FN" 63 200 50 100 1
"tvglasso" 1 "TN" 4866 200 50 100 1
"tvglasso" 1 "Pre" 0.714285714285714 200 50 100 1
"tvglasso" 1 "TPR" 0.192307692307692 200 50 100 1
"tvglasso" 1 "MCC" 0.366115740812354 200 50 100 1
"tvglasso" 1 "FDR" 0.285714285714286 200 50 100 1
"tvglasso" 1 "FPR" 0.00123152709359606 200 50 100 1
"tvglasso" 1 "F1" 0.303030303030303 200 50 100 1
"tvglasso" 1 "JI" 0.178571428571429 200 50 100 1
"tvglasso" 1 "ED" 69 200 50 100 1
"tvglasso" 1 "TP" 15 200 50 100 1
"tvglasso" 1 "FP" 6 200 50 100 1
"tvglasso" 1 "FN" 62 200 50 100 1
"tvglasso" 1 "TN" 4867 200 50 100 1
"tvglasso" 1 "Pre" 0.714285714285714 200 50 100 1
"tvglasso" 1 "TPR" 0.194805194805195 200 50 100 1
"tvglasso" 1 "MCC" 0.368554194040598 200 50 100 1
"tvglasso" 1 "FDR" 0.285714285714286 200 50 100 1
"tvglasso" 1 "FPR" 0.00123127436897189 200 50 100 1
"tvglasso" 1 "F1" 0.306122448979592 200 50 100 1
"tvglasso" 1 "JI" 0.180722891566265 200 50 100 1
"tvglasso" 1 "ED" 68 200 50 100 1
"tvglasso" 1 "TP" 15 200 50 100 1
"tvglasso" 1 "FP" 6 200 50 100 1
"tvglasso" 1 "FN" 61 200 50 100 1
"tvglasso" 1 "TN" 4868 200 50 100 1
"tvglasso" 1 "Pre" 0.714285714285714 200 50 100 1
"tvglasso" 1 "TPR" 0.197368421052632 200 50 100 1
"tvglasso" 1 "MCC" 0.371040156581583 200 50 100 1
"tvglasso" 1 "FDR" 0.285714285714286 200 50 100 1
"tvglasso" 1 "FPR" 0.00123102174805088 200 50 100 1
