"Method" "Sim_round" "Metric" "Value" "N" "n" "p" "h"
"tvglasso" 1 "TP" 38 200 50 100 0.5
"tvglasso" 1 "FP" 3 200 50 100 0.5
"tvglasso" 1 "FN" 40 200 50 100 0.5
"tvglasso" 1 "TN" 4869 200 50 100 0.5
"tvglasso" 1 "Pre" 0.926829268292683 200 50 100 0.5
"tvglasso" 1 "TPR" 0.487179487179487 200 50 100 0.5
"tvglasso" 1 "MCC" 0.668578217734335 200 50 100 0.5
"tvglasso" 1 "FDR" 0.0731707317073171 200 50 100 0.5
"tvglasso" 1 "FPR" 0.00061576354679803 200 50 100 0.5
"tvglasso" 1 "F1" 0.638655462184874 200 50 100 0.5
"tvglasso" 1 "JI" 0.469135802469136 200 50 100 0.5
"tvglasso" 1 "ED" 43 200 50 100 0.5
"tvglasso" 1 "TP" 39 200 50 100 0.5
"tvglasso" 1 "FP" 2 200 50 100 0.5
"tvglasso" 1 "FN" 39 200 50 100 0.5
"tvglasso" 1 "TN" 4870 200 50 100 0.5
"tvglasso" 1 "Pre" 0.951219512195122 200 50 100 0.5
"tvglasso" 1 "TPR" 0.5 200 50 100 0.5
"tvglasso" 1 "MCC" 0.686476683828726 200 50 100 0.5
"tvglasso" 1 "FDR" 0.0487804878048781 200 50 100 0.5
"tvglasso" 1 "FPR" 0.000410509031198686 200 50 100 0.5
"tvglasso" 1 "F1" 0.65546218487395 200 50 100 0.5
"tvglasso" 1 "JI" 0.4875 200 50 100 0.5
"tvglasso" 1 "ED" 41 200 50 100 0.5
"tvglasso" 1 "TP" 39 200 50 100 0.5
"tvglasso" 1 "FP" 2 200 50 100 0.5
"tvglasso" 1 "FN" 38 200 50 100 0.5
"tvglasso" 1 "TN" 4871 200 50 100 0.5
"tvglasso" 1 "Pre" 0.951219512195122 200 50 100 0.5
"tvglasso" 1 "TPR" 0.506493506493506 200 50 100 0.5
"tvglasso" 1 "MCC" 0.690998242858066 200 50 100 0.5
"tvglasso" 1 "FDR" 0.0487804878048781 200 50 100 0.5
"tvglasso" 1 "FPR" 0.000410424789657295 200 50 100 0.5
"tvglasso" 1 "F1" 0.661016949152542 200 50 100 0.5
"tvglasso" 1 "JI" 0.493670886075949 200 50 100 0.5
"tvglasso" 1 "ED" 40 200 50 100 0.5
"tvglasso" 1 "TP" 39 200 50 100 0.5
"tvglasso" 1 "FP" 2 200 50 100 0.5
"tvglasso" 1 "FN" 37 200 50 100 0.5
"tvglasso" 1 "TN" 4872 200 50 100 0.5
"tvglasso" 1 "Pre" 0.951219512195122 200 50 100 0.5
"tvglasso" 1 "TPR" 0.513157894736842 200 50 100 0.5
"tvglasso" 1 "MCC" 0.695608229873331 200 50 100 0.5
"tvglasso" 1 "FDR" 0.0487804878048781 200 50 100 0.5
"tvglasso" 1 "FPR" 0.000410340582683627 200 50 100 0.5
"tvglasso" 1 "F1" 0.666666666666667 200 50 100 0.5
"tvglasso" 1 "JI" 0.5 200 50 100 0.5
"tvglasso" 1 "ED" 39 200 50 100 0.5
"tvglasso" 1 "TP" 39 200 50 100 0.5
