"Method" "Sim_round" "Metric" "Value" "N" "n" "p" "h"
"tvglasso" 1 "FP" 2 200 100 100 1
"tvglasso" 1 "FN" 38 200 100 100 1
"tvglasso" 1 "TN" 4903 200 100 100 1
"tvglasso" 1 "Pre" 0.777777777777778 200 100 100 1
"tvglasso" 1 "TPR" 0.155555555555556 200 100 100 1
"tvglasso" 1 "MCC" 0.345654906621948 200 100 100 1
"tvglasso" 1 "FDR" 0.222222222222222 200 100 100 1
"tvglasso" 1 "FPR" 0.000407747196738022 200 100 100 1
"tvglasso" 1 "F1" 0.259259259259259 200 100 100 1
"tvglasso" 1 "JI" 0.148936170212766 200 100 100 1
"tvglasso" 1 "ED" 40 200 100 100 1
"tvglasso" 1 "TP" 7 200 100 100 1
"tvglasso" 1 "FP" 2 200 100 100 1
"tvglasso" 1 "FN" 36 200 100 100 1
"tvglasso" 1 "TN" 4905 200 100 100 1
"tvglasso" 1 "Pre" 0.777777777777778 200 100 100 1
"tvglasso" 1 "TPR" 0.162790697674419 200 100 100 1
"tvglasso" 1 "MCC" 0.353715790407079 200 100 100 1
"tvglasso" 1 "FDR" 0.222222222222222 200 100 100 1
"tvglasso" 1 "FPR" 0.000407581006725087 200 100 100 1
"tvglasso" 1 "F1" 0.269230769230769 200 100 100 1
"tvglasso" 1 "JI" 0.155555555555556 200 100 100 1
"tvglasso" 1 "ED" 38 200 100 100 1
"tvglasso" 1 "TP" 8 200 100 100 1
"tvglasso" 1 "FP" 1 200 100 100 1
"tvglasso" 1 "FN" 34 200 100 100 1
"tvglasso" 1 "TN" 4907 200 100 100 1
"tvglasso" 1 "Pre" 0.888888888888889 200 100 100 1
"tvglasso" 1 "TPR" 0.19047619047619 200 100 100 1
"tvglasso" 1 "MCC" 0.409660538417451 200 100 100 1
"tvglasso" 1 "FDR" 0.111111111111111 200 100 100 1
"tvglasso" 1 "FPR" 0.000203748981255094 200 100 100 1
"tvglasso" 1 "F1" 0.313725490196078 200 100 100 1
"tvglasso" 1 "JI" 0.186046511627907 200 100 100 1
"tvglasso" 1 "ED" 35 200 100 100 1
"tvglasso" 1 "TP" 8 200 100 100 1
"tvglasso" 1 "FP" 1 200 100 100 1
"tvglasso" 1 "FN" 31 200 100 100 1
"tvglasso" 1 "TN" 4910 200 100 100 1
"tvglasso" 1 "Pre" 0.888888888888889 200 100 100 1
"tvglasso" 1 "TPR" 0.205128205128205 200 100 100 1
"tvglasso" 1 "MCC" 0.425287525166871 200 100 100 1
"tvglasso" 1 "FDR" 0.111111111111111 200 100 100 1
"tvglasso" 1 "FPR" 0.000203624516391774 200 100 100 1
"tvglasso" 1 "F1" 0.333333333333333 200 100 100 1
