time ne name
1 FBgn0001078 FTZ-F1
1 FBgn0037717 CG8301
2 FBgn0001078 FTZ-F1
2 FBgn0037717 CG8301
3 FBgn0001078 FTZ-F1
3 FBgn0037717 CG8301
4 FBgn0001078 FTZ-F1
4 FBgn0011274 DIF
4 FBgn0037717 CG8301
5 FBgn0001078 FTZ-F1
5 FBgn0011274 DIF
5 FBgn0037717 CG8301
6 FBgn0001078 FTZ-F1
6 FBgn0011274 DIF
6 FBgn0037717 CG8301
7 FBgn0001078 FTZ-F1
7 FBgn0011274 DIF
7 FBgn0037717 CG8301
8 FBgn0001078 FTZ-F1
8 FBgn0011274 DIF
8 FBgn0037717 CG8301
9 FBgn0001078 FTZ-F1
9 FBgn0011274 DIF
9 FBgn0261703 GCE
9 FBgn0037717 CG8301
10 FBgn0001078 FTZ-F1
10 FBgn0011274 DIF
10 FBgn0261703 GCE
10 FBgn0037717 CG8301
11 FBgn0001078 FTZ-F1
11 FBgn0011274 DIF
11 FBgn0261703 GCE
11 FBgn0037717 CG8301
12 FBgn0001078 FTZ-F1
12 FBgn0011274 DIF
12 FBgn0261703 GCE
12 FBgn0037717 CG8301
12 FBgn0000567 EIP74EF
13 FBgn0001078 FTZ-F1
13 FBgn0011274 DIF
13 FBgn0037717 CG8301
14 FBgn0001078 FTZ-F1
14 FBgn0011274 DIF
14 FBgn0261703 GCE
14 FBgn0033252 CG12769
14 FBgn0037717 CG8301
14 FBgn0035625 BLIMP-1
14 FBgn0000567 EIP74EF
