"Method" "Sim_round" "Metric" "Value" "N" "n" "p"
"glasso" 1 "TP" 97 200 100 100
"glasso" 1 "FP" 106 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.477832512315271 200 100 100
"glasso" 1 "TPR" 0.659863945578231 200 100 100
"glasso" 1 "MCC" 0.546092790926351 200 100 100
"glasso" 1 "FDR" 0.522167487684729 200 100 100
"glasso" 1 "FPR" 0.0218421594889759 200 100 100
"glasso" 1 "F1" 0.554285714285714 200 100 100
"glasso" 1 "TP" 99 200 100 100
"glasso" 1 "FP" 104 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.487684729064039 200 100 100
"glasso" 1 "TPR" 0.664429530201342 200 100 100
"glasso" 1 "MCC" 0.55396273672792 200 100 100
"glasso" 1 "FDR" 0.512315270935961 200 100 100
"glasso" 1 "FPR" 0.0214388785817357 200 100 100
"glasso" 1 "F1" 0.5625 200 100 100
"glasso" 1 "TP" 97 200 100 100
"glasso" 1 "FP" 106 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.477832512315271 200 100 100
"glasso" 1 "TPR" 0.659863945578231 200 100 100
"glasso" 1 "MCC" 0.546092790926351 200 100 100
"glasso" 1 "FDR" 0.522167487684729 200 100 100
"glasso" 1 "FPR" 0.0218421594889759 200 100 100
"glasso" 1 "F1" 0.554285714285714 200 100 100
"glasso" 1 "TP" 99 200 100 100
"glasso" 1 "FP" 104 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.487684729064039 200 100 100
"glasso" 1 "TPR" 0.664429530201342 200 100 100
"glasso" 1 "MCC" 0.55396273672792 200 100 100
"glasso" 1 "FDR" 0.512315270935961 200 100 100
"glasso" 1 "FPR" 0.0214388785817357 200 100 100
"glasso" 1 "F1" 0.5625 200 100 100
"glasso" 1 "TP" 97 200 100 100
"glasso" 1 "FP" 106 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.477832512315271 200 100 100
"glasso" 1 "TPR" 0.659863945578231 200 100 100
"glasso" 1 "MCC" 0.546092790926351 200 100 100
"glasso" 1 "FDR" 0.522167487684729 200 100 100
"glasso" 1 "FPR" 0.0218421594889759 200 100 100
"glasso" 1 "F1" 0.554285714285714 200 100 100
"glasso" 1 "TP" 99 200 100 100
"glasso" 1 "FP" 104 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.487684729064039 200 100 100
"glasso" 1 "TPR" 0.664429530201342 200 100 100
"glasso" 1 "MCC" 0.55396273672792 200 100 100
"glasso" 1 "FDR" 0.512315270935961 200 100 100
"glasso" 1 "FPR" 0.0214388785817357 200 100 100
"glasso" 1 "F1" 0.5625 200 100 100
"glasso" 1 "TP" 97 200 100 100
"glasso" 1 "FP" 106 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.477832512315271 200 100 100
"glasso" 1 "TPR" 0.659863945578231 200 100 100
"glasso" 1 "MCC" 0.546092790926351 200 100 100
"glasso" 1 "FDR" 0.522167487684729 200 100 100
"glasso" 1 "FPR" 0.0218421594889759 200 100 100
"glasso" 1 "F1" 0.554285714285714 200 100 100
"glasso" 1 "TP" 99 200 100 100
"glasso" 1 "FP" 104 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.487684729064039 200 100 100
"glasso" 1 "TPR" 0.664429530201342 200 100 100
"glasso" 1 "MCC" 0.55396273672792 200 100 100
"glasso" 1 "FDR" 0.512315270935961 200 100 100
"glasso" 1 "FPR" 0.0214388785817357 200 100 100
"glasso" 1 "F1" 0.5625 200 100 100
"glasso" 1 "TP" 97 200 100 100
"glasso" 1 "FP" 106 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.477832512315271 200 100 100
"glasso" 1 "TPR" 0.659863945578231 200 100 100
"glasso" 1 "MCC" 0.546092790926351 200 100 100
"glasso" 1 "FDR" 0.522167487684729 200 100 100
"glasso" 1 "FPR" 0.0218421594889759 200 100 100
"glasso" 1 "F1" 0.554285714285714 200 100 100
"glasso" 1 "TP" 99 200 100 100
"glasso" 1 "FP" 104 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.487684729064039 200 100 100
"glasso" 1 "TPR" 0.664429530201342 200 100 100
"glasso" 1 "MCC" 0.55396273672792 200 100 100
"glasso" 1 "FDR" 0.512315270935961 200 100 100
"glasso" 1 "FPR" 0.0214388785817357 200 100 100
"glasso" 1 "F1" 0.5625 200 100 100
"glasso" 1 "TP" 97 200 100 100
"glasso" 1 "FP" 106 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.477832512315271 200 100 100
"glasso" 1 "TPR" 0.659863945578231 200 100 100
"glasso" 1 "MCC" 0.546092790926351 200 100 100
"glasso" 1 "FDR" 0.522167487684729 200 100 100
"glasso" 1 "FPR" 0.0218421594889759 200 100 100
"glasso" 1 "F1" 0.554285714285714 200 100 100
"glasso" 1 "TP" 99 200 100 100
"glasso" 1 "FP" 104 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.487684729064039 200 100 100
"glasso" 1 "TPR" 0.664429530201342 200 100 100
"glasso" 1 "MCC" 0.55396273672792 200 100 100
"glasso" 1 "FDR" 0.512315270935961 200 100 100
"glasso" 1 "FPR" 0.0214388785817357 200 100 100
"glasso" 1 "F1" 0.5625 200 100 100
"glasso" 1 "TP" 97 200 100 100
"glasso" 1 "FP" 106 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.477832512315271 200 100 100
"glasso" 1 "TPR" 0.659863945578231 200 100 100
"glasso" 1 "MCC" 0.546092790926351 200 100 100
"glasso" 1 "FDR" 0.522167487684729 200 100 100
"glasso" 1 "FPR" 0.0218421594889759 200 100 100
"glasso" 1 "F1" 0.554285714285714 200 100 100
"glasso" 1 "TP" 99 200 100 100
"glasso" 1 "FP" 104 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.487684729064039 200 100 100
"glasso" 1 "TPR" 0.664429530201342 200 100 100
"glasso" 1 "MCC" 0.55396273672792 200 100 100
"glasso" 1 "FDR" 0.512315270935961 200 100 100
"glasso" 1 "FPR" 0.0214388785817357 200 100 100
"glasso" 1 "F1" 0.5625 200 100 100
"glasso" 1 "TP" 97 200 100 100
"glasso" 1 "FP" 106 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.477832512315271 200 100 100
"glasso" 1 "TPR" 0.659863945578231 200 100 100
"glasso" 1 "MCC" 0.546092790926351 200 100 100
"glasso" 1 "FDR" 0.522167487684729 200 100 100
"glasso" 1 "FPR" 0.0218421594889759 200 100 100
"glasso" 1 "F1" 0.554285714285714 200 100 100
"glasso" 1 "TP" 99 200 100 100
"glasso" 1 "FP" 104 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.487684729064039 200 100 100
"glasso" 1 "TPR" 0.664429530201342 200 100 100
"glasso" 1 "MCC" 0.55396273672792 200 100 100
"glasso" 1 "FDR" 0.512315270935961 200 100 100
"glasso" 1 "FPR" 0.0214388785817357 200 100 100
"glasso" 1 "F1" 0.5625 200 100 100
"glasso" 1 "TP" 97 200 100 100
"glasso" 1 "FP" 106 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.477832512315271 200 100 100
"glasso" 1 "TPR" 0.659863945578231 200 100 100
"glasso" 1 "MCC" 0.546092790926351 200 100 100
"glasso" 1 "FDR" 0.522167487684729 200 100 100
"glasso" 1 "FPR" 0.0218421594889759 200 100 100
"glasso" 1 "F1" 0.554285714285714 200 100 100
"glasso" 1 "TP" 99 200 100 100
"glasso" 1 "FP" 104 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.487684729064039 200 100 100
"glasso" 1 "TPR" 0.664429530201342 200 100 100
"glasso" 1 "MCC" 0.55396273672792 200 100 100
"glasso" 1 "FDR" 0.512315270935961 200 100 100
"glasso" 1 "FPR" 0.0214388785817357 200 100 100
"glasso" 1 "F1" 0.5625 200 100 100
"glasso" 1 "TP" 97 200 100 100
"glasso" 1 "FP" 106 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.477832512315271 200 100 100
"glasso" 1 "TPR" 0.659863945578231 200 100 100
"glasso" 1 "MCC" 0.546092790926351 200 100 100
"glasso" 1 "FDR" 0.522167487684729 200 100 100
"glasso" 1 "FPR" 0.0218421594889759 200 100 100
"glasso" 1 "F1" 0.554285714285714 200 100 100
"glasso" 1 "TP" 99 200 100 100
"glasso" 1 "FP" 104 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.487684729064039 200 100 100
"glasso" 1 "TPR" 0.664429530201342 200 100 100
"glasso" 1 "MCC" 0.55396273672792 200 100 100
"glasso" 1 "FDR" 0.512315270935961 200 100 100
"glasso" 1 "FPR" 0.0214388785817357 200 100 100
"glasso" 1 "F1" 0.5625 200 100 100
"glasso" 1 "TP" 97 200 100 100
"glasso" 1 "FP" 106 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.477832512315271 200 100 100
"glasso" 1 "TPR" 0.659863945578231 200 100 100
"glasso" 1 "MCC" 0.546092790926351 200 100 100
"glasso" 1 "FDR" 0.522167487684729 200 100 100
"glasso" 1 "FPR" 0.0218421594889759 200 100 100
"glasso" 1 "F1" 0.554285714285714 200 100 100
"glasso" 1 "TP" 99 200 100 100
"glasso" 1 "FP" 104 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.487684729064039 200 100 100
"glasso" 1 "TPR" 0.664429530201342 200 100 100
"glasso" 1 "MCC" 0.55396273672792 200 100 100
"glasso" 1 "FDR" 0.512315270935961 200 100 100
"glasso" 1 "FPR" 0.0214388785817357 200 100 100
"glasso" 1 "F1" 0.5625 200 100 100
"glasso" 1 "TP" 97 200 100 100
"glasso" 1 "FP" 106 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.477832512315271 200 100 100
"glasso" 1 "TPR" 0.659863945578231 200 100 100
"glasso" 1 "MCC" 0.546092790926351 200 100 100
"glasso" 1 "FDR" 0.522167487684729 200 100 100
"glasso" 1 "FPR" 0.0218421594889759 200 100 100
"glasso" 1 "F1" 0.554285714285714 200 100 100
"glasso" 1 "TP" 99 200 100 100
"glasso" 1 "FP" 104 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.487684729064039 200 100 100
"glasso" 1 "TPR" 0.664429530201342 200 100 100
"glasso" 1 "MCC" 0.55396273672792 200 100 100
"glasso" 1 "FDR" 0.512315270935961 200 100 100
"glasso" 1 "FPR" 0.0214388785817357 200 100 100
"glasso" 1 "F1" 0.5625 200 100 100
"glasso" 1 "TP" 97 200 100 100
"glasso" 1 "FP" 106 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.477832512315271 200 100 100
"glasso" 1 "TPR" 0.659863945578231 200 100 100
"glasso" 1 "MCC" 0.546092790926351 200 100 100
"glasso" 1 "FDR" 0.522167487684729 200 100 100
"glasso" 1 "FPR" 0.0218421594889759 200 100 100
"glasso" 1 "F1" 0.554285714285714 200 100 100
"glasso" 1 "TP" 99 200 100 100
"glasso" 1 "FP" 104 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.487684729064039 200 100 100
"glasso" 1 "TPR" 0.664429530201342 200 100 100
"glasso" 1 "MCC" 0.55396273672792 200 100 100
"glasso" 1 "FDR" 0.512315270935961 200 100 100
"glasso" 1 "FPR" 0.0214388785817357 200 100 100
"glasso" 1 "F1" 0.5625 200 100 100
"glasso" 1 "TP" 97 200 100 100
"glasso" 1 "FP" 106 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.477832512315271 200 100 100
"glasso" 1 "TPR" 0.659863945578231 200 100 100
"glasso" 1 "MCC" 0.546092790926351 200 100 100
"glasso" 1 "FDR" 0.522167487684729 200 100 100
"glasso" 1 "FPR" 0.0218421594889759 200 100 100
"glasso" 1 "F1" 0.554285714285714 200 100 100
"glasso" 1 "TP" 99 200 100 100
"glasso" 1 "FP" 104 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.487684729064039 200 100 100
"glasso" 1 "TPR" 0.664429530201342 200 100 100
"glasso" 1 "MCC" 0.55396273672792 200 100 100
"glasso" 1 "FDR" 0.512315270935961 200 100 100
"glasso" 1 "FPR" 0.0214388785817357 200 100 100
"glasso" 1 "F1" 0.5625 200 100 100
"glasso" 1 "TP" 97 200 100 100
"glasso" 1 "FP" 106 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.477832512315271 200 100 100
"glasso" 1 "TPR" 0.659863945578231 200 100 100
"glasso" 1 "MCC" 0.546092790926351 200 100 100
"glasso" 1 "FDR" 0.522167487684729 200 100 100
"glasso" 1 "FPR" 0.0218421594889759 200 100 100
"glasso" 1 "F1" 0.554285714285714 200 100 100
"glasso" 1 "TP" 99 200 100 100
"glasso" 1 "FP" 104 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.487684729064039 200 100 100
"glasso" 1 "TPR" 0.664429530201342 200 100 100
"glasso" 1 "MCC" 0.55396273672792 200 100 100
"glasso" 1 "FDR" 0.512315270935961 200 100 100
"glasso" 1 "FPR" 0.0214388785817357 200 100 100
"glasso" 1 "F1" 0.5625 200 100 100
"glasso" 1 "TP" 97 200 100 100
"glasso" 1 "FP" 106 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.477832512315271 200 100 100
"glasso" 1 "TPR" 0.659863945578231 200 100 100
"glasso" 1 "MCC" 0.546092790926351 200 100 100
"glasso" 1 "FDR" 0.522167487684729 200 100 100
"glasso" 1 "FPR" 0.0218421594889759 200 100 100
"glasso" 1 "F1" 0.554285714285714 200 100 100
"glasso" 1 "TP" 99 200 100 100
"glasso" 1 "FP" 104 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.487684729064039 200 100 100
"glasso" 1 "TPR" 0.664429530201342 200 100 100
"glasso" 1 "MCC" 0.55396273672792 200 100 100
"glasso" 1 "FDR" 0.512315270935961 200 100 100
"glasso" 1 "FPR" 0.0214388785817357 200 100 100
"glasso" 1 "F1" 0.5625 200 100 100
"glasso" 1 "TP" 97 200 100 100
"glasso" 1 "FP" 106 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.477832512315271 200 100 100
"glasso" 1 "TPR" 0.659863945578231 200 100 100
"glasso" 1 "MCC" 0.546092790926351 200 100 100
"glasso" 1 "FDR" 0.522167487684729 200 100 100
"glasso" 1 "FPR" 0.0218421594889759 200 100 100
"glasso" 1 "F1" 0.554285714285714 200 100 100
"glasso" 1 "TP" 99 200 100 100
"glasso" 1 "FP" 104 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.487684729064039 200 100 100
"glasso" 1 "TPR" 0.664429530201342 200 100 100
"glasso" 1 "MCC" 0.55396273672792 200 100 100
"glasso" 1 "FDR" 0.512315270935961 200 100 100
"glasso" 1 "FPR" 0.0214388785817357 200 100 100
"glasso" 1 "F1" 0.5625 200 100 100
"glasso" 1 "TP" 97 200 100 100
"glasso" 1 "FP" 106 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.477832512315271 200 100 100
"glasso" 1 "TPR" 0.659863945578231 200 100 100
"glasso" 1 "MCC" 0.546092790926351 200 100 100
"glasso" 1 "FDR" 0.522167487684729 200 100 100
"glasso" 1 "FPR" 0.0218421594889759 200 100 100
"glasso" 1 "F1" 0.554285714285714 200 100 100
"glasso" 1 "TP" 99 200 100 100
"glasso" 1 "FP" 104 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.487684729064039 200 100 100
"glasso" 1 "TPR" 0.664429530201342 200 100 100
"glasso" 1 "MCC" 0.55396273672792 200 100 100
"glasso" 1 "FDR" 0.512315270935961 200 100 100
"glasso" 1 "FPR" 0.0214388785817357 200 100 100
"glasso" 1 "F1" 0.5625 200 100 100
"glasso" 1 "TP" 97 200 100 100
"glasso" 1 "FP" 106 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.477832512315271 200 100 100
"glasso" 1 "TPR" 0.659863945578231 200 100 100
"glasso" 1 "MCC" 0.546092790926351 200 100 100
"glasso" 1 "FDR" 0.522167487684729 200 100 100
"glasso" 1 "FPR" 0.0218421594889759 200 100 100
"glasso" 1 "F1" 0.554285714285714 200 100 100
"glasso" 1 "TP" 99 200 100 100
"glasso" 1 "FP" 104 200 100 100
"glasso" 1 "FN" 50 200 100 100
"glasso" 1 "TN" 4747 200 100 100
"glasso" 1 "Pre" 0.487684729064039 200 100 100
