"Method" "Sim_round" "Metric" "Value" "N" "n" "p"
"glasso" 1 "TP" 44 200 100 100
"glasso" 1 "FP" 30 200 100 100
"glasso" 1 "FN" 71 200 100 100
"glasso" 1 "TN" 4855 200 100 100
"glasso" 1 "Pre" 0.594594594594595 200 100 100
"glasso" 1 "TPR" 0.382608695652174 200 100 100
"glasso" 1 "MCC" 0.467353575249563 200 100 100
"glasso" 1 "FDR" 0.405405405405405 200 100 100
"glasso" 1 "FPR" 0.00614124872057318 200 100 100
"glasso" 1 "F1" 0.465608465608466 200 100 100
"glasso" 1 "TP" 40 200 100 100
"glasso" 1 "FP" 24 200 100 100
"glasso" 1 "FN" 72 200 100 100
"glasso" 1 "TN" 4864 200 100 100
"glasso" 1 "Pre" 0.625 200 100 100
"glasso" 1 "TPR" 0.357142857142857 200 100 100
"glasso" 1 "MCC" 0.463689149328546 200 100 100
"glasso" 1 "FDR" 0.375 200 100 100
"glasso" 1 "FPR" 0.00490998363338789 200 100 100
"glasso" 1 "F1" 0.454545454545455 200 100 100
"glasso" 1 "TP" 31 200 100 100
"glasso" 1 "FP" 4 200 100 100
"glasso" 1 "FN" 81 200 100 100
"glasso" 1 "TN" 4884 200 100 100
"glasso" 1 "Pre" 0.885714285714286 200 100 100
"glasso" 1 "TPR" 0.276785714285714 200 100 100
"glasso" 1 "MCC" 0.489822485388959 200 100 100
"glasso" 1 "FDR" 0.114285714285714 200 100 100
"glasso" 1 "FPR" 0.000818330605564648 200 100 100
"glasso" 1 "F1" 0.421768707482993 200 100 100
"glasso" 1 "TP" 31 200 100 100
"glasso" 1 "FP" 13 200 100 100
"glasso" 1 "FN" 78 200 100 100
"glasso" 1 "TN" 4878 200 100 100
"glasso" 1 "Pre" 0.704545454545455 200 100 100
"glasso" 1 "TPR" 0.284403669724771 200 100 100
"glasso" 1 "MCC" 0.440531969568325 200 100 100
"glasso" 1 "FDR" 0.295454545454545 200 100 100
"glasso" 1 "FPR" 0.00265794316090779 200 100 100
"glasso" 1 "F1" 0.405228758169935 200 100 100
"glasso" 1 "TP" 31 200 100 100
"glasso" 1 "FP" 7 200 100 100
"glasso" 1 "FN" 76 200 100 100
"glasso" 1 "TN" 4886 200 100 100
"glasso" 1 "Pre" 0.815789473684211 200 100 100
"glasso" 1 "TPR" 0.289719626168224 200 100 100
"glasso" 1 "MCC" 0.480382753020558 200 100 100
"glasso" 1 "FDR" 0.184210526315789 200 100 100
"glasso" 1 "FPR" 0.00143061516452074 200 100 100
"glasso" 1 "F1" 0.427586206896552 200 100 100
"glasso" 1 "TP" 37 200 100 100
"glasso" 1 "FP" 25 200 100 100
"glasso" 1 "FN" 66 200 100 100
"glasso" 1 "TN" 4872 200 100 100
"glasso" 1 "Pre" 0.596774193548387 200 100 100
"glasso" 1 "TPR" 0.359223300970874 200 100 100
"glasso" 1 "MCC" 0.45452779340384 200 100 100
"glasso" 1 "FDR" 0.403225806451613 200 100 100
"glasso" 1 "FPR" 0.00510516642842557 200 100 100
"glasso" 1 "F1" 0.448484848484848 200 100 100
"glasso" 1 "TP" 26 200 100 100
"glasso" 1 "FP" 1 200 100 100
"glasso" 1 "FN" 74 200 100 100
"glasso" 1 "TN" 4899 200 100 100
"glasso" 1 "Pre" 0.962962962962963 200 100 100
"glasso" 1 "TPR" 0.26 200 100 100
"glasso" 1 "MCC" 0.496294259594783 200 100 100
"glasso" 1 "FDR" 0.037037037037037 200 100 100
"glasso" 1 "FPR" 0.000204081632653061 200 100 100
"glasso" 1 "F1" 0.409448818897638 200 100 100
"glasso" 1 "TP" 31 200 100 100
"glasso" 1 "FP" 18 200 100 100
"glasso" 1 "FN" 67 200 100 100
"glasso" 1 "TN" 4884 200 100 100
"glasso" 1 "Pre" 0.63265306122449 200 100 100
"glasso" 1 "TPR" 0.316326530612245 200 100 100
"glasso" 1 "MCC" 0.43996685015229 200 100 100
"glasso" 1 "FDR" 0.36734693877551 200 100 100
"glasso" 1 "FPR" 0.00367197062423501 200 100 100
"glasso" 1 "F1" 0.421768707482993 200 100 100
"glasso" 1 "TP" 26 200 100 100
"glasso" 1 "FP" 11 200 100 100
