time ne name
0h FBgn0001077 FTZ
1h FBgn0001077 FTZ
2h FBgn0001077 FTZ
3h FBgn0001077 FTZ
4h FBgn0001077 FTZ
5h FBgn0001077 FTZ
6h FBgn0001077 FTZ
8h FBgn0001077 FTZ
10h FBgn0001077 FTZ
10h FBgn0003411 SISA
12h FBgn0001077 FTZ
12h FBgn0003411 SISA
14h FBgn0001077 FTZ
14h FBgn0003411 SISA
16h FBgn0001077 FTZ
16h FBgn0003411 SISA
18h FBgn0001077 FTZ
18h FBgn0003411 SISA
20h FBgn0001077 FTZ
20h FBgn0010433 ATO
20h FBgn0003411 SISA
20h FBgn0035625 BLIMP-1
