"Method" "Sim_round" "Metric" "Value" "N" "n" "p" "h"
"tvglasso" 1 "TP" 96 200 50 100 0.5
"tvglasso" 1 "FP" 8 200 50 100 0.5
"tvglasso" 1 "FN" 0 200 50 100 0.5
"tvglasso" 1 "TN" 4846 200 50 100 0.5
"tvglasso" 1 "Pre" 0.923076923076923 200 50 100 0.5
"tvglasso" 1 "TPR" 1 200 50 100 0.5
"tvglasso" 1 "MCC" 0.959976862578139 200 50 100 0.5
"tvglasso" 1 "FDR" 0.0769230769230769 200 50 100 0.5
"tvglasso" 1 "FPR" 0.00164812525751957 200 50 100 0.5
"tvglasso" 1 "F1" 0.96 200 50 100 0.5
"tvglasso" 1 "JI" 0.923076923076923 200 50 100 0.5
"tvglasso" 1 "ED" 8 200 50 100 0.5
"tvglasso" 1 "TP" 97 200 50 100 0.5
"tvglasso" 1 "FP" 12 200 50 100 0.5
"tvglasso" 1 "FN" 0 200 50 100 0.5
"tvglasso" 1 "TN" 4841 200 50 100 0.5
"tvglasso" 1 "Pre" 0.889908256880734 200 50 100 0.5
"tvglasso" 1 "TPR" 1 200 50 100 0.5
"tvglasso" 1 "MCC" 0.942182457455099 200 50 100 0.5
"tvglasso" 1 "FDR" 0.110091743119266 200 50 100 0.5
"tvglasso" 1 "FPR" 0.00247269730063878 200 50 100 0.5
"tvglasso" 1 "F1" 0.941747572815534 200 50 100 0.5
"tvglasso" 1 "JI" 0.889908256880734 200 50 100 0.5
"tvglasso" 1 "ED" 12 200 50 100 0.5
"tvglasso" 1 "TP" 95 200 50 100 0.5
"tvglasso" 1 "FP" 13 200 50 100 0.5
"tvglasso" 1 "FN" 0 200 50 100 0.5
"tvglasso" 1 "TN" 4842 200 50 100 0.5
"tvglasso" 1 "Pre" 0.87962962962963 200 50 100 0.5
"tvglasso" 1 "TPR" 1 200 50 100 0.5
"tvglasso" 1 "MCC" 0.93662921568566 200 50 100 0.5
"tvglasso" 1 "FDR" 0.12037037037037 200 50 100 0.5
"tvglasso" 1 "FPR" 0.00267765190525232 200 50 100 0.5
"tvglasso" 1 "F1" 0.935960591133005 200 50 100 0.5
"tvglasso" 1 "JI" 0.87962962962963 200 50 100 0.5
"tvglasso" 1 "ED" 13 200 50 100 0.5
"tvglasso" 1 "TP" 97 200 50 100 0.5
"tvglasso" 1 "FP" 11 200 50 100 0.5
"tvglasso" 1 "FN" 0 200 50 100 0.5
"tvglasso" 1 "TN" 4842 200 50 100 0.5
"tvglasso" 1 "Pre" 0.898148148148148 200 50 100 0.5
"tvglasso" 1 "TPR" 1 200 50 100 0.5
"tvglasso" 1 "MCC" 0.946632119862361 200 50 100 0.5
"tvglasso" 1 "FDR" 0.101851851851852 200 50 100 0.5
"tvglasso" 1 "FPR" 0.00226663919225221 200 50 100 0.5
"tvglasso" 1 "F1" 0.946341463414634 200 50 100 0.5
"tvglasso" 1 "JI" 0.898148148148148 200 50 100 0.5
"tvglasso" 1 "ED" 11 200 50 100 0.5
"tvglasso" 1 "TP" 94 200 50 100 0.5
"tvglasso" 1 "FP" 14 200 50 100 0.5
"tvglasso" 1 "FN" 0 200 50 100 0.5
"tvglasso" 1 "TN" 4842 200 50 100 0.5
"tvglasso" 1 "Pre" 0.87037037037037 200 50 100 0.5
"tvglasso" 1 "TPR" 1 200 50 100 0.5
"tvglasso" 1 "MCC" 0.931590610380284 200 50 100 0.5
"tvglasso" 1 "FDR" 0.12962962962963 200 50 100 0.5
"tvglasso" 1 "FPR" 0.0028830313014827 200 50 100 0.5
"tvglasso" 1 "F1" 0.930693069306931 200 50 100 0.5
"tvglasso" 1 "JI" 0.87037037037037 200 50 100 0.5
"tvglasso" 1 "ED" 14 200 50 100 0.5
"tvglasso" 1 "TP" 96 200 50 100 0.5
"tvglasso" 1 "FP" 12 200 50 100 0.5
"tvglasso" 1 "FN" 0 200 50 100 0.5
"tvglasso" 1 "TN" 4842 200 50 100 0.5
"tvglasso" 1 "Pre" 0.888888888888889 200 50 100 0.5
"tvglasso" 1 "TPR" 1 200 50 100 0.5
"tvglasso" 1 "MCC" 0.941642919872246 200 50 100 0.5
"tvglasso" 1 "FDR" 0.111111111111111 200 50 100 0.5
"tvglasso" 1 "FPR" 0.00247218788627936 200 50 100 0.5
"tvglasso" 1 "F1" 0.941176470588235 200 50 100 0.5
"tvglasso" 1 "JI" 0.888888888888889 200 50 100 0.5
"tvglasso" 1 "ED" 12 200 50 100 0.5
"tvglasso" 1 "TP" 94 200 50 100 0.5
"tvglasso" 1 "FP" 14 200 50 100 0.5
"tvglasso" 1 "FN" 0 200 50 100 0.5
"tvglasso" 1 "TN" 4842 200 50 100 0.5
"tvglasso" 1 "Pre" 0.87037037037037 200 50 100 0.5
"tvglasso" 1 "TPR" 1 200 50 100 0.5
"tvglasso" 1 "MCC" 0.931590610380284 200 50 100 0.5
"tvglasso" 1 "FDR" 0.12962962962963 200 50 100 0.5
"tvglasso" 1 "FPR" 0.0028830313014827 200 50 100 0.5
"tvglasso" 1 "F1" 0.930693069306931 200 50 100 0.5
"tvglasso" 1 "JI" 0.87037037037037 200 50 100 0.5
"tvglasso" 1 "ED" 14 200 50 100 0.5
"tvglasso" 1 "TP" 96 200 50 100 0.5
"tvglasso" 1 "FP" 12 200 50 100 0.5
"tvglasso" 1 "FN" 0 200 50 100 0.5
"tvglasso" 1 "TN" 4842 200 50 100 0.5
"tvglasso" 1 "Pre" 0.888888888888889 200 50 100 0.5
"tvglasso" 1 "TPR" 1 200 50 100 0.5
"tvglasso" 1 "MCC" 0.941642919872246 200 50 100 0.5
"tvglasso" 1 "FDR" 0.111111111111111 200 50 100 0.5
"tvglasso" 1 "FPR" 0.00247218788627936 200 50 100 0.5
"tvglasso" 1 "F1" 0.941176470588235 200 50 100 0.5
"tvglasso" 1 "JI" 0.888888888888889 200 50 100 0.5
"tvglasso" 1 "ED" 12 200 50 100 0.5
"tvglasso" 1 "TP" 95 200 50 100 0.5
"tvglasso" 1 "FP" 10 200 50 100 0.5
"tvglasso" 1 "FN" 0 200 50 100 0.5
"tvglasso" 1 "TN" 4845 200 50 100 0.5
"tvglasso" 1 "Pre" 0.904761904761905 200 50 100 0.5
"tvglasso" 1 "TPR" 1 200 50 100 0.5
