FBgn0013263 TRL
FBgn0013469 KLU
FBgn0013531 MED20
FBgn0013751 AWH
FBgn0013753 BGB
FBgn0013755 BRO
FBgn0013764 CHI
FBgn0013799 DEAF1
FBgn0014018 REL
FBgn0014143 CROC
FBgn0014179 GCM
FBgn0014343 MIRR
FBgn0014859 HR38
FBgn0014863 MLP84B
FBgn0014931 CG2678
FBgn0014949 BTN
FBgn0015025 CKIIALPHA-I1
FBgn0015239 HR78
FBgn0015240 HR96
FBgn0015299 SSB-C31A
FBgn0015371 CHN
FBgn0015381 DSF
FBgn0015396 JUMU
FBgn0015524 OTP
FBgn0015550 TAP
FBgn0015561 UNPG
FBgn0015602 BEAF-32
FBgn0015618 CDK8
FBgn0015664 DREF
FBgn0015721 KTUB
FBgn0015799 RBF
FBgn0015805 HDAC1
FBgn0015828 TFIIEALPHA
FBgn0015903 APT
FBgn0015904 ARA
FBgn0015919 CAUP
FBgn0015949 HRG
FBgn0016076 VRI
FBgn0016660 H15
FBgn0016694 PDP1
FBgn0016754 SBA
FBgn0016917 STAT92E
FBgn0016970 L(2)K10201
FBgn0017430 NELF-E
FBgn0017550 RGA
FBgn0017578 MAX
FBgn0019637 ATU
FBgn0019650 TOY
FBgn0019809 GCM2
FBgn0020249 STCK
FBgn0020306 DOM
FBgn0020307 DVE
FBgn0020309 CROL
FBgn0020378 SP1
FBgn0020379 RFX
FBgn0020493 DAD
FBgn0020496 CTBP
FBgn0020617 RX
FBgn0020618 RACK1
FBgn0020887 SU(Z)12
FBgn0020912 PTX1
FBgn0021738 CRG-1
FBgn0021767 ORG-1
FBgn0021872 XBP1
FBgn0022238 LOLAL
FBgn0022361 PUR-ALPHA
FBgn0022699 D19B
FBgn0022724 TAF8
FBgn0022740 HLH54F
FBgn0022764 SIN3A
FBgn0022935 D19A
FBgn0022936 CYCH
FBgn0023076 CLK
FBgn0023091 DIMM
FBgn0023094 CYC
FBgn0023097 BON
FBgn0023212 ELOB
FBgn0023215 MNT
FBgn0023489 PPH13
FBgn0023518 TRR
FBgn0024184 UNC-4
FBgn0024244 DRM
FBgn0024249 CATO
FBgn0024250 BRK
FBgn0024251 BBX
FBgn0024288 SOX100B
FBgn0024321 NK7.1
FBgn0024371 E2F2
FBgn0024887 KIN17
FBgn0024956 MAT1
FBgn0024975 CG2712
FBgn0025185 AZ2
FBgn0025334 PHDP
FBgn0025360 OPTIX
FBgn0025463 BAP60
FBgn0025525 BAB2
FBgn0025635 CG17829
FBgn0025679 KLF15
FBgn0025716 BAP55
FBgn0025776 IND
FBgn0025800 SMOX
FBgn0025825 HDAC3
FBgn0025832 FEN1
FBgn0025838 CG2652
FBgn0025874 MEICS
FBgn0026058 ODSH
FBgn0026080 TIP60
FBgn0026160 TNA
FBgn0026373 RPII33
FBgn0026411 LIM1
FBgn0026427 SU(VAR)2-HP2
FBgn0026428 HDAC6
FBgn0026533 DEK
FBgn0026573 ADD1
FBgn0026575 HANG
FBgn0026582 HMG-2
FBgn0026869 THD1
FBgn0026873 MED18
FBgn0027339 JIM
FBgn0027364 SIX4
FBgn0027378 MRG15
FBgn0027453 DNZ1
FBgn0027503 CG11970
FBgn0027514 CG1024
FBgn0027524 CG3909
FBgn0027553 NELF-B
FBgn0027567 CG8108
FBgn0027592 MED15
FBgn0027599 CG2790
FBgn0027620 ACF
FBgn0027788 HEY
FBgn0027866 CG9776
FBgn0027945 PPL
FBgn0027950 MBD-LIKE
FBgn0027951 MTA1-LIKE
FBgn0028387 CHM
FBgn0028398 TAF10
FBgn0028530 MTTF
FBgn0028531 CG15286
FBgn0028550 ATF3
FBgn0028579 PHTF
FBgn0028647 CG11902
FBgn0028683 SPT4
FBgn0028744 CG5033
FBgn0028789 DOC1
FBgn0028878 CG15269
FBgn0028887 CG3491
FBgn0028895 CG17328
FBgn0028926 NC2BETA
FBgn0028931 CG16863
FBgn0028979 TIO
FBgn0028991 SEQ
FBgn0028993 SCRO
FBgn0028996 ONECUT
FBgn0028999 NERFIN-1
FBgn0029123 SOXN
FBgn0029504 CHES-1-LIKE
FBgn0029672 CG2875
FBgn0029711 USF
FBgn0029822 CG12236
FBgn0029824 CG3726
FBgn0029861 CG3815
FBgn0029867 CG3847
FBgn0029895 CG14441
FBgn0029905 NF-YC
FBgn0029920 CR4575
FBgn0029928 CG3032
FBgn0029936 CG4617
FBgn0029939 CG9650
FBgn0029957 CG12155
FBgn0030003 CG2116
FBgn0030005 CG2120
FBgn0030008 CG2129
FBgn0030009 CG15336
FBgn0030010 CG10959
FBgn0030012 CG18262
FBgn0030058 CG11294
FBgn0030065 CG12075
FBgn0030077 CG15365
FBgn0030082 HP1B
FBgn0030093 BAP111
FBgn0030206 CG2889
FBgn0030240 CG2202
FBgn0030266 CG11122
FBgn0030314 CG11696
FBgn0030316 CG11695
FBgn0030408 CG11085
FBgn0030432 CG4404
FBgn0030455 CG4318
FBgn0030477 DMRT11E
FBgn0030486 SET2
FBgn0030502 TTH
FBgn0030505 NFAT
FBgn0030659 CG9215
FBgn0030663 CG8117
FBgn0030664 CG8119
FBgn0030673 CG15601
FBgn0030680 CG8944
FBgn0030699 CG8578
FBgn0030706 LRP4
FBgn0030710 CG8924
FBgn0030787 CG9609
FBgn0030788 SAP30
FBgn0030878 CG6769
FBgn0030899 HESR
FBgn0030933 CG6470
FBgn0030952 CG12609
FBgn0030963 CG7101
FBgn0030990 CG7556
FBgn0031023 CG14200
FBgn0031037 CG14207
FBgn0031086 FD19B
FBgn0031115 CG11710
FBgn0031144 CG1529
FBgn0031232 CG11617
FBgn0031257 CG4133
FBgn0031296 CG4415
FBgn0031375 ERM
FBgn0031391 CG11723
FBgn0031434 INSV
FBgn0031435 ELBA2
FBgn0031476 CG8813
FBgn0031495 GABPI
FBgn0031573 CG3407
FBgn0031597 CG17612
FBgn0031604 ELP3
FBgn0031608 CG15435
FBgn0031610 CG15436
FBgn0031711 CG6907
FBgn0031718 CG14014
FBgn0031759 LID
FBgn0031874 CG13775
FBgn0031876 ATAC1
FBgn0031894 CG4496
FBgn0031947 CG7154
FBgn0032016 METTL14
FBgn0032130 BRWL
FBgn0032150 CG13123
FBgn0032202 REPTOR-BP
FBgn0032209 HAND
FBgn0032223 GATAD
FBgn0032248 BUG22
FBgn0032291 CG17118
FBgn0032295 CG12299
FBgn0032321 YL-1
FBgn0032388 CG6686
FBgn0032401 PLZF
FBgn0032473 KMG
FBgn0032485 CG9426
FBgn0032490 CG16813
FBgn0032491 CG16815
FBgn0032493 MABI
FBgn0032512 BDP1
FBgn0032517 CG7099
FBgn0032587 CG5953
FBgn0032600 BUGZ
FBgn0032651 OLI
FBgn0032691 ATAC2
FBgn0032707 CG10348
FBgn0032730 CG10431
FBgn0032741 SIDPN
FBgn0032763 CG17568
FBgn0032812 HAKAI
FBgn0032814 CG10366
FBgn0032815 CG10462
FBgn0032816 NF-YB
FBgn0032817 CG10631
FBgn0032858 CG10949
FBgn0032871 CG2611
FBgn0032940 MONDO
FBgn0032979 CLAMP
FBgn0033010 ATF6
FBgn0033015 D4
FBgn0033029 NOT3
FBgn0033155 BR140
FBgn0033183 CG1620
FBgn0033185 CG1603
FBgn0033186 CG1602
FBgn0033233 KDM4A
FBgn0033252 CG12769
FBgn0033358 SPAB
FBgn0033449 CG1663
FBgn0033458 CG18446
FBgn0033459 CG12744
FBgn0033474 CG1407
FBgn0033491 CG18011
FBgn0033569 CG12942
FBgn0033581 CG12391
FBgn0033616 CG7745
FBgn0033627 CG13204
FBgn0033636 TOU
FBgn0033667 REB
FBgn0033744 DH44-R2
FBgn0033748 VIS
FBgn0033749 ACHI
FBgn0033762 ZNT49B
FBgn0033782 SUG
FBgn0033815 CG4676
FBgn0033846 MIP120
FBgn0033889 CG6701
FBgn0033929 TFB1
FBgn0033934 CG17385
FBgn0033971 CG10209
FBgn0033993 CG8089
FBgn0033998 ROW
FBgn0034012 HR51
FBgn0034057 CG8314
FBgn0034062 CG8388
FBgn0034096 CG7786
FBgn0034114 CG4282
FBgn0034120 CG15710
FBgn0034186 CG8950
FBgn0034202 CG17287
FBgn0034217 LHR
FBgn0034240 MESR4
FBgn0034379 CG15073
FBgn0034425 CG11906
FBgn0034520 LMS
FBgn0034534 MAF-S
FBgn0034570 CG10543
FBgn0034599 HNG1
FBgn0034643 CG10321
FBgn0034650 NC2ALPHA
FBgn0034667 COMR
FBgn0034726 MES4
FBgn0034729 CG10344
FBgn0034763 RYBP
FBgn0034814 CG9890
FBgn0034821 CG9876
FBgn0034878 PITA
FBgn0034945 CG10904
FBgn0034946 CG3065
FBgn0034961 CG3163
FBgn0034970 YKI
FBgn0034985 CG3328
FBgn0035024 CG11414
FBgn0035036 CG4707
FBgn0035137 CG1233
FBgn0035144 KAH
FBgn0035149 MED30
FBgn0035157 CG13894
FBgn0035160 HNG3
FBgn0035213 CG2199
FBgn0035238 CG12104
FBgn0035357 MEP-1
FBgn0035405 CG15812
FBgn0035407 ASCIZ
FBgn0035414 CG14965
FBgn0035481 CG12605
FBgn0035518 CG15011
FBgn0035625 BLIMP-1
FBgn0035626 LIN-28
FBgn0035643 CG13287
FBgn0035687 PRDM13
FBgn0035690 CG10274
FBgn0035691 CG7386
FBgn0035702 CG10147
FBgn0035721 CG9948
FBgn0035754 MED4
FBgn0035769 CTCF
FBgn0035824 CG8281
FBgn0035849 ERR
FBgn0035902 CG6683
FBgn0035903 CG6765
FBgn0035954 DOC3
FBgn0035956 DOC2
FBgn0035993 NF-YA
FBgn0035997 PHOL
FBgn0036004 JARID2
FBgn0036124 CG7839
FBgn0036126 IRBP18
FBgn0036134 FOXK
FBgn0036152 CG6175
FBgn0036155 CG6163
FBgn0036179 CG7368
