"Method" "Sim_round" "Metric" "Value" "N" "n" "p" "h"
"tvglasso" 1 "TP" 99 200 50 100 2.5
"tvglasso" 1 "FP" 1 200 50 100 2.5
"tvglasso" 1 "FN" 0 200 50 100 2.5
"tvglasso" 1 "TN" 4850 200 50 100 2.5
"tvglasso" 1 "Pre" 0.99 200 50 100 2.5
"tvglasso" 1 "TPR" 1 200 50 100 2.5
"tvglasso" 1 "MCC" 0.994884876941723 200 50 100 2.5
"tvglasso" 1 "FDR" 0.01 200 50 100 2.5
"tvglasso" 1 "FPR" 0.00020614306328592 200 50 100 2.5
"tvglasso" 1 "F1" 0.994974874371859 200 50 100 2.5
"tvglasso" 1 "JI" 0.99 200 50 100 2.5
"tvglasso" 1 "ED" 1 200 50 100 2.5
"tvglasso" 1 "TP" 99 200 50 100 2.5
"tvglasso" 1 "FP" 1 200 50 100 2.5
"tvglasso" 1 "FN" 0 200 50 100 2.5
"tvglasso" 1 "TN" 4850 200 50 100 2.5
"tvglasso" 1 "Pre" 0.99 200 50 100 2.5
"tvglasso" 1 "TPR" 1 200 50 100 2.5
"tvglasso" 1 "MCC" 0.994884876941723 200 50 100 2.5
"tvglasso" 1 "FDR" 0.01 200 50 100 2.5
"tvglasso" 1 "FPR" 0.00020614306328592 200 50 100 2.5
"tvglasso" 1 "F1" 0.994974874371859 200 50 100 2.5
"tvglasso" 1 "JI" 0.99 200 50 100 2.5
"tvglasso" 1 "ED" 1 200 50 100 2.5
"tvglasso" 1 "TP" 99 200 50 100 2.5
"tvglasso" 1 "FP" 1 200 50 100 2.5
"tvglasso" 1 "FN" 0 200 50 100 2.5
"tvglasso" 1 "TN" 4850 200 50 100 2.5
"tvglasso" 1 "Pre" 0.99 200 50 100 2.5
"tvglasso" 1 "TPR" 1 200 50 100 2.5
"tvglasso" 1 "MCC" 0.994884876941723 200 50 100 2.5
"tvglasso" 1 "FDR" 0.01 200 50 100 2.5
"tvglasso" 1 "FPR" 0.00020614306328592 200 50 100 2.5
"tvglasso" 1 "F1" 0.994974874371859 200 50 100 2.5
"tvglasso" 1 "JI" 0.99 200 50 100 2.5
"tvglasso" 1 "ED" 1 200 50 100 2.5
"tvglasso" 1 "TP" 99 200 50 100 2.5
"tvglasso" 1 "FP" 1 200 50 100 2.5
"tvglasso" 1 "FN" 0 200 50 100 2.5
"tvglasso" 1 "TN" 4850 200 50 100 2.5
"tvglasso" 1 "Pre" 0.99 200 50 100 2.5
"tvglasso" 1 "TPR" 1 200 50 100 2.5
"tvglasso" 1 "MCC" 0.994884876941723 200 50 100 2.5
"tvglasso" 1 "FDR" 0.01 200 50 100 2.5
"tvglasso" 1 "FPR" 0.00020614306328592 200 50 100 2.5
"tvglasso" 1 "F1" 0.994974874371859 200 50 100 2.5
"tvglasso" 1 "JI" 0.99 200 50 100 2.5
"tvglasso" 1 "ED" 1 200 50 100 2.5
"tvglasso" 1 "TP" 99 200 50 100 2.5
"tvglasso" 1 "FP" 1 200 50 100 2.5
"tvglasso" 1 "FN" 0 200 50 100 2.5
"tvglasso" 1 "TN" 4850 200 50 100 2.5
"tvglasso" 1 "Pre" 0.99 200 50 100 2.5
"tvglasso" 1 "TPR" 1 200 50 100 2.5
"tvglasso" 1 "MCC" 0.994884876941723 200 50 100 2.5
"tvglasso" 1 "FDR" 0.01 200 50 100 2.5
"tvglasso" 1 "FPR" 0.00020614306328592 200 50 100 2.5
"tvglasso" 1 "F1" 0.994974874371859 200 50 100 2.5
"tvglasso" 1 "JI" 0.99 200 50 100 2.5
"tvglasso" 1 "ED" 1 200 50 100 2.5
"tvglasso" 1 "TP" 99 200 50 100 2.5
"tvglasso" 1 "FP" 1 200 50 100 2.5
"tvglasso" 1 "FN" 0 200 50 100 2.5
"tvglasso" 1 "TN" 4850 200 50 100 2.5
"tvglasso" 1 "Pre" 0.99 200 50 100 2.5
"tvglasso" 1 "TPR" 1 200 50 100 2.5
"tvglasso" 1 "MCC" 0.994884876941723 200 50 100 2.5
"tvglasso" 1 "FDR" 0.01 200 50 100 2.5
"tvglasso" 1 "FPR" 0.00020614306328592 200 50 100 2.5
"tvglasso" 1 "F1" 0.994974874371859 200 50 100 2.5
"tvglasso" 1 "JI" 0.99 200 50 100 2.5
"tvglasso" 1 "ED" 1 200 50 100 2.5
"tvglasso" 1 "TP" 99 200 50 100 2.5
"tvglasso" 1 "FP" 1 200 50 100 2.5
"tvglasso" 1 "FN" 0 200 50 100 2.5
"tvglasso" 1 "TN" 4850 200 50 100 2.5
"tvglasso" 1 "Pre" 0.99 200 50 100 2.5
"tvglasso" 1 "TPR" 1 200 50 100 2.5
"tvglasso" 1 "MCC" 0.994884876941723 200 50 100 2.5
"tvglasso" 1 "FDR" 0.01 200 50 100 2.5
"tvglasso" 1 "FPR" 0.00020614306328592 200 50 100 2.5
"tvglasso" 1 "F1" 0.994974874371859 200 50 100 2.5
"tvglasso" 1 "JI" 0.99 200 50 100 2.5
"tvglasso" 1 "ED" 1 200 50 100 2.5
"tvglasso" 1 "TP" 99 200 50 100 2.5
"tvglasso" 1 "FP" 1 200 50 100 2.5
"tvglasso" 1 "FN" 0 200 50 100 2.5
"tvglasso" 1 "TN" 4850 200 50 100 2.5
"tvglasso" 1 "Pre" 0.99 200 50 100 2.5
"tvglasso" 1 "TPR" 1 200 50 100 2.5
"tvglasso" 1 "MCC" 0.994884876941723 200 50 100 2.5
"tvglasso" 1 "FDR" 0.01 200 50 100 2.5
"tvglasso" 1 "FPR" 0.00020614306328592 200 50 100 2.5
"tvglasso" 1 "F1" 0.994974874371859 200 50 100 2.5
"tvglasso" 1 "JI" 0.99 200 50 100 2.5
"tvglasso" 1 "ED" 1 200 50 100 2.5
"tvglasso" 1 "TP" 99 200 50 100 2.5
"tvglasso" 1 "FP" 1 200 50 100 2.5
"tvglasso" 1 "FN" 0 200 50 100 2.5
"tvglasso" 1 "TN" 4850 200 50 100 2.5
"tvglasso" 1 "Pre" 0.99 200 50 100 2.5
"tvglasso" 1 "TPR" 1 200 50 100 2.5
"tvglasso" 1 "MCC" 0.994884876941723 200 50 100 2.5
"tvglasso" 1 "FDR" 0.01 200 50 100 2.5
"tvglasso" 1 "FPR" 0.00020614306328592 200 50 100 2.5
